,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,Dplus,FearX,-1.5,1.59,+1.5,2.35,1.2,4.2,3.5,1.53,3.5,2.5,Aug 23 08:00,ESPNBet
1,KT Rolster,T1,+1.5,1.77,-1.5,2.0,2.8,1.42,4.5,2.7,4.5,1.45,Aug 24 06:00,ESPNBet
2,DetonatioN FocusMe,Frank Esports,+1.5,1.67,-1.5,2.2,2.4,1.56,4.5,2.6,4.5,1.5,Aug 20 09:00,ESPNBet
