,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,Freecs Challengers,HLE Challengers,,,,,2.3,1.55,,,,,Aug 20,Everygame
1,BK ROG Esports,Vitality.Bee,,,,,2.55,1.45,,,,,Aug 20,Everygame
2,Macko Esports,Team GO,,,,,3.0,1.33,,,,,Aug 20,Everygame
3,DetonatioN FocusMe,Frank Esports,,,,,2.35,1.53,,,,,Aug 20,Everygame
4,CTBC Flying Oyster,Deep Cross Gaming,,,,,1.4,2.75,,,,,Aug 21,Everygame
5,Bilibili Gaming,Top Esports,,,,,1.6,2.2,,,,,Aug 21,Everygame
6,LNG Esports,Weibo Gaming,,,,,1.53,2.35,,,,,Aug 22,Everygame
