,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,Bilibili Gaming,Top Esports,-1.5,2.2,+1.5,1.62,1.54,2.35,4.5,2.6,4.5,1.43,10:00,BetNow
1,LNG Esports,Weibo Gaming,-1.5,1.91,+1.5,1.77,1.4,2.7,4.5,2.7,4.5,1.4,22:00,BetNow
