,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,Dplus,FearX,-1.5,1.53,+1.5,2.45,1.2,4.25,3.5,1.49,3.5,2.55,Aug 23 08:00,Bovada
1,KT Rolster,T1,+1.5,1.8,-1.5,1.95,2.7,1.44,4.5,1.42,4.5,2.8,Aug 24 06:00,Bovada
2,100 Thieves,Team Liquid,+2.5,1.54,-2.5,2.4,5.5,1.13,3.5,2.3,3.5,1.59,Aug 24 20:00,Bovada
3,Fnatic,MAD Lions KOI,-1.5,2.05,+1.5,1.74,1.45,2.65,4.5,1.43,4.5,2.75,Aug 23 15:00,Bovada
4,G2 Esports,Team BDS,-1.5,1.61,+1.5,2.25,1.25,3.75,3.5,1.45,3.5,2.65,Aug 24 15:00,Bovada
5,Bilibili Gaming,Top Esports,-1.5,2.3,+1.5,1.59,1.59,2.3,4.5,2.7,4.5,1.44,Aug 21 10:00,Bovada
6,LNG Esports,Weibo Gaming,-1.5,2.1,+1.5,1.69,1.48,2.6,4.5,1.43,4.5,2.75,Aug 22 10:00,Bovada
7,Freecs Challengers,HLE Challengers,+1.5,1.61,-1.5,2.25,2.25,1.61,4.5,1.49,4.5,2.55,Aug 20 08:00,Bovada
