,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,BRION,T1,+1.5,+280,-1.5,-400,+1100,+1100, 2.5,+310, 2.5,-475,07:00,Draftkings
1,KT Rolster,Nongshim RedForce,-1.5,-125,+1.5,-105,-500,-500, 2.5,+135, 2.5,-180,09:30,Draftkings
2,BRION,T1,+1.5,+280,-1.5,-400,+1100,+1100, 2.5,+310, 2.5,-475,07:00,Draftkings
3,KT Rolster,Nongshim RedForce,-1.5,-125,+1.5,-105,-500,-500, 2.5,+135, 2.5,-180,09:30,Draftkings
4,BRION,T1,+1.5,+280,-1.5,-400,+1100,+1100, 2.5,+310, 2.5,-475,07:00,Draftkings
5,Team BDS,MAD Lions KOI,-1.5,-140,+1.5,+105,+400,+400, 2.5,-180, 2.5,+135,14:00,Draftkings
6,SK Gaming,Team Heretics,-1.5,-115,+1.5,-120,+310,+310, 2.5,-170, 2.5,+125,17:00,Draftkings
7,Team BDS,MAD Lions KOI,-1.5,-140,+1.5,+105,+400,+400, 2.5,-180, 2.5,+135,14:00,Draftkings
8,SK Gaming,Team Heretics,-1.5,-115,+1.5,-120,+310,+310, 2.5,-170, 2.5,+125,17:00,Draftkings
